DATE,STIOLD
1989-10-23,1094.26
1989-10-24,1089.38
1989-10-25,1062.82
1989-10-26,1057.41
1989-10-27,1047.62
1989-10-30,1042.06
1989-10-31,1062.59
1989-11-01,1067.31
1989-11-02,1064.63
1989-11-03,1059.12
1989-11-06,1052.8
1989-11-07,1055.39
1989-11-08,1060.87
1989-11-09,1068.54
1989-11-10,1077.75
1989-11-13,1076.03
1989-11-14,1072.03
1989-11-15,1069.66
1989-11-16,1069.12
1989-11-17,1072.07
1989-11-20,1077.78
1989-11-21,1084.19
1989-11-22,1099.04
1989-11-23,1105.35
1989-11-24,1111.54
1989-11-27,1110.8
1989-11-28,1114.33
1989-11-29,1115.48
1989-11-30,1114.46
1989-12-01,1115.29
1989-12-04,1127.62
1989-12-05,1137.92
1989-12-06,1145.08
1989-12-07,1142.95
1989-12-08,1145.37
1989-12-11,1146.01
1989-12-12,1151.69
1989-12-13,1155.06
1989-12-14,1165.35
1989-12-15,1154.93
1989-12-18,1151.3
1989-12-19,1150.15
1989-12-20,1152.34
1989-12-21,1161.19
1989-12-22,1167.3
1989-12-26,1173.89
